number,author,title,university,status,date,industry,url,recording
1,G. Argyrou,Federated Learning for Vision Tasks in Edge-AI Systems,Aalto,ongoing,,,,
2,J. Haapanen,Improving the quality of maritime data using artificial intelligence and machine learning methods,Aalto,ongoing,,,,https://youtu.be/9K9sDFP4VDQ
3,A. von Hertzen,Interpretability-Driven Regularization for Deep Weather Forecasting,Aalto,ongoing,,,,https://youtu.be/2ySKxhEJjGw
4,M. Holmström,"Diagnostics, debugging and analysis tools for ML enabled 5G telecommunication systems",Aalto,ongoing,,,,
5,M. Malkki,Vehicle value modelling,Aalto,ongoing,,,,
6,S. Mättö,Forecasting seasonality in financial data with machine learning methods,Aalto,ongoing,,,,
7,A. Nygård,Agent-System Interface Designs for Enterprise Applications: A Comparative Empirical Study,Aalto,ongoing,,,,
8,A. Päkkilä,Learning Active Constraint Sets with Machine Learning for Constrained Optimization,Aalto,ongoing,,,,
9,I. Viita,Automated Validation of Construction Documentation: A Machine Learning Approach Using Industry Data,Aalto,ongoing,,,,https://youtu.be/gxk9WxDpx_Y
10,H. Välimäki,Generating synthetic 3D food objects for the development of automatic dietary assessment,Aalto,ongoing,,,,
11,I. Zalesskii,Bid Optimization in Real-Time Bidding Display Advertising,Aalto,ongoing,,,,
12,B. Zheng,"Exploring the structure in deep networks: Group, manifold and category theory",Aalto,completed,Dec. 2025,,https://urn.fi/URN:NBN:fi:aalto-202601221854,
13,V. Niemi,Diagnosing and improving a maintenance contract churn prediction model,Aalto,completed,Dec. 2025,,https://urn.fi/URN:NBN:fi:aalto-202601221885,https://youtu.be/XIjMrt__kas
14,A. Hämäläinen,Improving retrieval-augmented generation with LLM-as-a-judge evaluation,Aalto,completed,Nov. 2025,,https://urn.fi/URN:NBN:fi:aalto-202512179401,
15,S. Monira,FedSock & FedBlue: Scalable decentralized federated learning systems with generalized total variation minimization,Aalto,completed,Nov. 2025,,https://urn.fi/URN:NBN:fi:aalto-202512169317,
16,A. Pavlyuk,Federated learning with multi-layer perceptron for sensor drift compensation in direct-ethanol fuel cells,Aalto,completed,July 2025,,https://aaltodoc.aalto.fi/items/4a5a94c3-5302-44a8-b7c7-b3cdb9cbece8,https://youtu.be/WdRNTwxm1g8
17,S. Rachidi,Explainable machine learning in cancer survival prediction — A case study of myeloma patients,Aalto,completed,July 2025,,https://urn.fi/URN:NBN:fi:aalto-202508186254,
18,C. Fait,Designing a data pipeline for total column greenhouse gas measurements with portable EM27/SUN spectrometers,Aalto,completed,July 2025,,https://urn.fi/URN:NBN:fi:aalto-202508186244,
19,L. Tuominen,Robust tap gesture recognition on wearable devices with domain adaptation,Aalto,completed,July 2025,,https://urn.fi/URN:NBN:fi:aalto-202508206651,
20,O. Lauronen,Unsupervised semantic matching of support tickets,Aalto,completed,May 2025,Polycon Oy,https://urn.fi/URN:NBN:fi:aalto-202506174861,
